X, Y, Stream-wise Distance,Measured Values,Calculatioin Result
758.466,1151.91,140.293,448.734,448.693
866.469,1151.47,129.166,448.724,448.694
822.417,979.529,299.021,448.68,448.647
719.127,1022.84,298.463,448.649,448.624
618.099,911.01,516.434,448.577,448.508
671.9,802.051,510.856,448.562,448.516
529.656,740.059,639.448,448.533,448.455
518.955,871.585,650.966,448.466,448.413
406.202,754.859,739.381,448.447,448.379
261.495,825.354,877.462,448.309,448.248
301.995,921.747,898.347,448.246,448.236
138.761,895.842,1017.88,448.101,448.076
191.54,1014.24,1041.23,447.987,448.021
-31.033,946.441,1192.5,447.969,447.961
96.237,1149.85,1193.44,447.952,447.957
119.388,1213.77,1208.56,447.942,447.946
-15.402,1040.4,1228.8,447.873,447.898
-173.987,1171.43,1427.03,447.774,447.784
-254.312,1145.71,1467.92,447.738,447.763
-52.19,1323.17,1434.13,447.734,447.784
-72.847,1283.29,1422.83,447.729,447.788
-383.111,1384.18,1717.99,447.65,447.613
-466.789,1318.39,1722.04,447.641,447.624
-251.907,1424.64,1661.84,447.638,447.65
-288.307,1372.18,1646.9,447.611,447.646
-355.193,1493.55,1784.01,447.569,447.571
-569.56,1445.84,1878.27,447.524,447.551
-409.142,1445.36,1780.77,447.523,447.579
-500.495,1469.08,1855.07,447.486,447.527
-508.027,1543.16,1917.21,447.464,447.502
-475.771,1636.1,1972.66,447.435,447.467
-560.954,1771.45,2134.93,447.406,447.412
-639.458,1695.04,2112.65,447.376,447.408
-588.047,1599.12,2007.63,447.376,447.418
-648.15,1919.65,2310.97,447.339,447.354
-735.77,2084.5,2499.43,447.273,447.261
-802.743,2341.16,2764.7,447.162,447.198
-888.297,2598.55,3036.18,447.101,447.118
